train/epoch,train/loss,train/log_prob,train/kl,train/physics_temporal,train/physics_momentum,train/physics_contact,train/physics_total_physics,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
38,26787.71619140625,-13391.284013671875,32.90569654464721,0.02351328659802675,0.04354688473045826,0.0001654342096298933,0.06722560565918684,0.0070009492,0.0021880262,0.014961657,0.0017867608,0.010013826,0.039911523,0.99478936,0.0,0.003012874,-13473.80927734375,52.64717483520508,13477.922265625,0.078125
39,26784.21302734375,-13389.54681640625,32.7201428604126,0.023999517019838094,0.0443613713607192,0.00040544934570789336,0.06876633740961552,0.009482923,0.0028932285,0.016044287,0.0022944317,0.012475378,0.070352204,1.0,0.0,0.0029924528,-13461.32451171875,52.42265625,13465.419921875,0.078125
40,26782.20802734375,-13388.504375,33.23052196502685,0.024200852811336517,0.044665151834487916,0.0006987025123089552,0.0695647070556879,0.015890315,0.003746705,0.02387515,0.0080795875,0.019191738,0.07767986,0.9999981,0.0,0.0033014202,-13459.63623046875,53.14335327148437,13463.787890625,0.078125
41,26768.36146484375,-13381.641044921875,32.46546962738037,0.022952583003789186,0.04308087419718504,8.670549839735032e-05,0.06612016286700964,0.020349592,0.003201399,0.028593319,0.011130843,0.023112418,0.087336786,0.9999995,0.0,0.0027628266,-13462.56572265625,52.12590789794922,13466.6380859375,0.078125
42,26772.73705078125,-13383.79509765625,32.896108875274656,0.02411563592031598,0.0445758143812418,0.00041631292551755903,0.06910776313394308,0.039190184,0.0038635603,0.046497513,0.030423004,0.042609874,0.1406692,1.0,0.0,0.0034196973,-13494.5177734375,48.79052619934082,13498.32958984375,0.078125
43,26781.128125,-13388.03908203125,32.277744903564454,0.0231169125251472,0.043093456439673904,0.00025292132049798967,0.06646329030394554,0.006614763,0.0023823185,0.014653584,0.0023870366,0.009661109,0.040002394,0.99692464,0.0,0.0030463482,-13468.6626953125,49.75875396728516,13472.5501953125,0.078125
44,26773.281328125,-13384.158828125,31.725201034545897,0.02311103532090783,0.04324149640277028,0.0004304082412272692,0.06678293988108636,0.007421868,0.0031777169,0.016148929,0.0017789309,0.010919904,0.058215074,0.99999976,0.0,0.0034980378,-13480.60458984375,48.950571060180664,13484.42880859375,0.078125
45,26755.5889453125,-13375.275986328124,32.19371229171753,0.023410838674753905,0.04382930381223559,8.038817904889583e-05,0.06732053060084581,0.010130877,0.0034888375,0.017773766,0.0022072457,0.013356563,0.067049816,1.0,0.0,0.0032256804,-13503.585546875,50.80400161743164,13507.5546875,0.078125
46,26760.07654296875,-13377.5012109375,32.43128942489624,0.02392222125083208,0.04455763645470143,0.00015978022012859582,0.06863963801413775,0.031378135,0.0049635847,0.038307164,0.012307602,0.034439616,0.12578416,1.0,0.0,0.00306149,-13465.77197265625,50.95576972961426,13469.75302734375,0.078125
47,26762.93412109375,-13378.942890625,32.266470718383786,0.023499484173953533,0.044157691746950146,0.00015479825902730226,0.06781197417527438,0.017837357,0.0032816245,0.024432011,0.009143086,0.020946553,0.08178291,0.9999993,0.0,0.0031091974,-13465.30478515625,48.16665878295898,13469.0677734375,0.078125
48,26760.58736328125,-13377.811728515626,31.726749458312987,0.02312273398041725,0.04355372656136751,0.0,0.06667646069079637,0.02735634,0.0050154687,0.03735104,0.016246103,0.031054582,0.12077486,1.0,0.0,0.0036982459,-13478.4052734375,47.82901954650879,13482.141796875,0.078125
49,26752.9262890625,-13374.00388671875,31.43440662384033,0.02335306929424405,0.04379281044006347,0.0002540279179811478,0.0673999074846506,0.037618592,0.0027261842,0.04312608,0.024598267,0.038955603,0.13551684,1.0,0.0,0.0013370033,-13484.3990234375,46.694770431518556,13488.04697265625,0.078125
50,26763.14849609375,-13379.103232421876,31.586421813964844,0.022988223265856506,0.04337917272001505,8.105038665235043e-05,0.06644844640046359,0.037348766,0.0051764147,0.04836822,0.022706665,0.042186704,0.13308431,1.0,0.0,0.0048379353,-13494.71376953125,47.8931339263916,13498.45546875,0.078125
51,26760.50486328125,-13377.76216796875,31.832828540802,0.02287157913669944,0.043257554285228254,0.00015735411550849677,0.06628648761659861,0.013316786,0.0036293743,0.02132563,0.0038653156,0.017311387,0.06795446,0.99861825,0.0,0.0039946,-13545.1576171875,55.50978393554688,13549.4943359375,0.078125
52,26784.370390625,-13389.268603515626,37.28434104919434,0.02612293677404523,0.04825272165238857,9.381519630551338e-05,0.07446947354823351,0.018683702,0.0033126138,0.023824863,0.00854969,0.021712145,0.08558528,1.0,0.0,0.0030284408,-13448.537109375,79.41559448242188,13454.7412109375,0.078125
53,26763.24345703125,-13378.984072265624,33.71736610412598,0.024768275152891876,0.045533259958028795,0.00025907929055392744,0.07056061491370201,0.038342036,0.0029599525,0.04446106,0.031193819,0.03992307,0.13741994,1.0,0.0,0.001581043,-13450.6501953125,47.17489585876465,13454.33564453125,0.078125
54,26771.483046875,-13383.3068359375,31.121602401733398,0.022925066146999597,0.04292598210275173,0.00018890216015279293,0.066039950363338,0.035621695,0.0024387997,0.041247435,0.028148651,0.03862981,0.1339093,1.0,0.0,0.0030081177,-13454.50263671875,52.974185943603516,13458.6412109375,0.078125
55,26767.73861328125,-13381.453583984376,30.87950912475586,0.022431443370878698,0.04178562711924314,0.00027091747149825095,0.06448798790574074,0.011003725,0.0038599197,0.017349513,0.004144786,0.0142282415,0.062491752,0.99906707,0.0,0.0032245156,-13430.566796875,54.57795028686523,13434.83056640625,0.078125
56,26757.71671875,-13376.481474609374,30.38289405822754,0.022131686359643937,0.0414839549548924,0.00018342726863920689,0.06379906803369523,0.01947926,0.0038483576,0.025883533,0.007382579,0.035584625,0.13150662,1.0,0.0,0.016105369,-13439.060546875,50.09843635559082,13442.9744140625,0.078125
57,26762.750390625,-13378.928173828124,31.281567668914796,0.021487904787063597,0.04060221349820495,8.828694932162762e-05,0.062178405337035655,0.011531642,0.004405675,0.019404028,2.4042325e-05,0.014747562,0.061815843,0.9999974,0.0,0.0032159195,-13436.6859375,47.446695709228514,13440.3927734375,0.078125
58,26751.5153515625,-13373.4004296875,30.13142484664917,0.02198384692892432,0.04143083855509758,0.00043461966328322887,0.06384930524975062,0.008043798,0.002591283,0.014308495,0.0030325064,0.011306631,0.06423432,1.0,0.0,0.0032628314,-13460.450390625,53.20139770507812,13464.60673828125,0.078125
59,26758.7949609375,-13376.966875,31.07125020980835,0.022519389782100916,0.0421791997179389,0.00018744471482932569,0.06488603457808495,0.009380161,0.003213662,0.017738106,0.0031562934,0.012419364,0.06775674,1.0,0.0,0.0030392061,-13449.67548828125,49.918603515625,13453.57529296875,0.078125
60,26747.6509765625,-13371.447265625,30.40105680465698,0.02183865860104561,0.041611769683659074,0.00025254616513848305,0.06370297443121671,0.014970126,0.0036437982,0.021503774,0.0063938615,0.018301772,0.07201846,0.999861,0.0,0.0033316514,-13439.89140625,48.37280464172363,13443.67060546875,0.078125
61,26740.2478515625,-13367.77423828125,30.035033531188965,0.021542148422449826,0.041120765842497346,0.0,0.06266291413456201,0.022681097,0.0052557825,0.030678432,0.008129062,0.026508348,0.113240846,1.0,0.0,0.0038272543,-13463.10712890625,42.40810966491699,13466.4203125,0.078125
62,26750.7576171875,-13373.01751953125,30.18427085876465,0.021632576044648886,0.04108342241495848,0.00024557335302233696,0.06296157166361808,0.009501384,0.0043039126,0.017366506,0.0010875983,0.012819006,0.05794841,0.99999976,0.0,0.0033176218,-13430.566796875,51.679836654663085,13434.604296875,0.078125
63,26748.926015625,-13372.10126953125,30.189610252380373,0.021966001763939858,0.04167237002402544,0.00015436590183526278,0.06379273772239685,0.034568906,0.0040775295,0.042949863,0.02512517,0.038610764,0.13622321,1.0,0.0,0.004041853,-13451.78798828125,53.1950008392334,13455.94375,0.078125
64,26747.8940234375,-13371.5830078125,30.21932710647583,0.021621697414666415,0.04116786265745759,0.0002609816286712885,0.06305054161697626,0.02910095,0.0026642967,0.034383744,0.023466794,0.03191859,0.11895635,1.0,0.0,0.0028176361,-13451.25634765625,47.21069831848145,13454.94482421875,0.078125
65,26743.97287109375,-13369.659169921875,29.748370838165282,0.021863570120185614,0.041754544600844386,0.00015758694615215064,0.06377570133656263,0.028748743,0.0052678413,0.039198846,0.01685746,0.03165621,0.123373225,1.0,0.0,0.0029074666,-13445.116015625,44.580051803588866,13448.59892578125,0.078125
66,26740.7821875,-13368.083740234375,29.494040355682372,0.02139372181147337,0.040993026830255984,0.0004915054608136415,0.06287825386971235,0.01469068,0.0045542587,0.022772022,0.0051023588,0.017835598,0.09188841,1.0,0.0,0.003144916,-13442.7458984375,43.92642669677734,13446.17763671875,0.078125
67,26741.9094140625,-13368.652734375,29.425087299346924,0.02160611603409052,0.04126367814838886,0.00032155622262507676,0.06319135062396526,0.011443123,0.003020448,0.018313542,0.00362483,0.014449373,0.07467133,1.0,0.0,0.0030062543,-13442.15556640625,46.065528869628906,13445.754296875,0.078125
68,26729.2724609375,-13362.347626953126,29.254092044830323,0.021183076854795216,0.04069019686430693,0.0003263850277289748,0.0621996583417058,0.00855306,0.003023033,0.016309984,0.002582222,0.011800104,0.064821504,1.0,0.0,0.003247047,-13438.58046875,43.114039993286134,13441.94873046875,0.078125
69,26735.0607421875,-13365.211005859375,29.647672119140626,0.02152197644114494,0.04141114616766572,0.00024500829167664053,0.06317813087254763,0.028072549,0.004481601,0.0370178,0.014233442,0.032556586,0.11936724,1.0,0.0,0.0044840295,-13442.5408203125,46.57865447998047,13446.1798828125,0.078125
70,26741.39494140625,-13368.3955078125,29.42434175491333,0.021525364611297847,0.04130884122103453,0.0004175914730876684,0.06325179707258939,0.016091006,0.00256768,0.021301933,0.009575607,0.01912004,0.07672191,1.0,0.0,0.0030290312,-13433.5849609375,43.89447135925293,13437.0142578125,0.078125
71,26738.2257421875,-13366.845087890624,28.986400623321533,0.02180000426247716,0.04187028743326664,0.00023784893099218607,0.06390814021229745,0.006266938,0.0024143136,0.013681272,0.0018446504,0.009542065,0.042494304,0.9989125,0.0,0.003275126,-13442.24228515625,44.00533447265625,13445.680078125,0.078125
